Date,Open,High,Low,Close,Adj Close,Volume
2021-03-22,109.430000,111.559998,109.430000,111.080002,110.219986,674100
2021-03-23,107.839996,109.610001,107.580002,109.250000,108.404152,941100
2021-03-24,112.570000,114.419998,112.459999,113.379997,112.502174,444000
2021-03-25,111.639999,114.379997,111.000000,114.120003,113.236450,355600
2021-03-26,114.410004,114.650002,113.000000,114.230003,113.345604,446800
2021-03-29,113.529999,113.529999,110.550003,112.209999,111.341240,371600
2021-03-30,114.669998,115.300003,113.010002,114.019997,113.137222,905700
2021-03-31,114.300003,115.239998,113.599998,115.000000,114.109634,500900
2021-04-01,116.000000,116.849998,115.529999,115.739998,114.843903,450600
2021-04-05,116.669998,117.620003,114.980003,115.000000,114.109634,314800
2021-04-06,114.150002,114.970001,112.900002,114.120003,113.236450,329500
2021-04-07,114.889999,114.889999,111.190002,112.379997,111.509918,254100
2021-04-08,111.959999,112.379997,110.000000,112.379997,111.509918,336100
2021-04-09,111.570000,111.889999,109.089996,109.449997,108.602600,222600
2021-04-12,108.330002,108.669998,105.360001,106.029999,105.209084,304300
2021-04-13,106.559998,106.739998,104.379997,105.900002,105.080093,334700
2021-04-14,107.849998,108.480003,105.720001,106.169998,105.348000,156700
2021-04-15,106.989998,107.559998,104.760002,105.410004,104.593887,393100
2021-04-16,106.489998,107.580002,106.050003,107.489998,106.657776,207500
2021-04-19,108.110001,108.500000,106.059998,106.669998,105.844131,345100
2021-04-20,106.139999,106.139999,101.099998,102.879997,102.083473,525000
2021-04-21,100.449997,104.650002,100.309998,104.580002,103.770317,226900
2021-04-22,105.989998,108.620003,105.639999,106.650002,105.824287,379300
2021-04-23,106.739998,109.699997,106.739998,109.330002,108.483536,206500
2021-04-26,111.120003,112.779999,110.320000,112.760002,111.886986,228500
2021-04-27,112.510002,113.879997,112.389999,113.660004,112.780014,140300
2021-04-28,113.330002,115.720001,112.809998,114.570000,113.682968,172300
2021-04-29,115.650002,118.370003,115.580002,118.000000,117.086411,467200
2021-04-30,117.099998,118.500000,115.839996,116.849998,115.945313,283500
2021-05-03,117.970001,118.160004,116.599998,117.930000,117.016953,162900
2021-05-04,117.839996,117.839996,115.239998,116.290001,115.389648,258100
2021-05-05,115.379997,118.820000,115.379997,117.370003,116.461288,223100
2021-05-06,118.339996,119.500000,116.989998,119.349998,118.425957,183200
2021-05-07,119.839996,120.650002,118.900002,119.459999,118.535103,303800
2021-05-10,120.239998,121.400002,119.269997,120.150002,119.219765,404400
2021-05-11,117.379997,118.199997,116.150002,117.760002,116.848274,188200
2021-05-12,116.320000,118.599998,115.290001,117.720001,116.808578,222900
2021-05-13,116.099998,117.139999,112.830002,114.540001,113.653198,291600
2021-05-14,115.180000,118.150002,114.690002,115.910004,115.012596,320900
2021-05-17,116.430000,116.430000,113.010002,113.620003,112.740326,218200
2021-05-18,115.169998,116.000000,113.089996,113.620003,112.740326,198000
2021-05-19,113.190002,113.919998,110.720001,113.430000,112.551796,169600
2021-05-20,112.959999,113.559998,112.230003,113.339996,112.462486,204800
2021-05-21,116.000000,116.309998,115.169998,115.639999,114.744682,253600
2021-05-24,115.699997,115.839996,114.160004,114.339996,113.454742,234500
2021-05-25,117.050003,117.540001,113.940002,114.010002,113.127304,411800
2021-05-26,114.650002,114.650002,113.250000,113.720001,112.839546,280100
2021-05-27,116.129997,116.339996,114.599998,115.589996,114.695068,278500
2021-05-28,116.209999,117.949997,115.010002,116.750000,115.846085,192500
2021-06-01,117.660004,119.089996,117.660004,119.000000,118.078667,218700
2021-06-02,118.849998,121.629997,118.470001,121.089996,120.152481,247400
2021-06-03,117.510002,118.150002,114.000000,114.419998,113.534126,335500
2021-06-04,115.480003,115.480003,112.059998,113.980003,113.097534,219900
2021-06-07,114.070000,116.070000,113.629997,114.010002,113.127304,239900
2021-06-08,115.940002,116.139999,114.010002,115.059998,114.169167,180500
2021-06-09,116.540001,116.919998,113.250000,114.650002,113.762352,181600
2021-06-10,113.070000,114.300003,112.089996,112.870003,111.996132,159200
2021-06-11,114.370003,114.769997,112.900002,113.680000,112.799858,407200
2021-06-14,111.830002,113.180000,111.300003,112.330002,111.460312,162000
2021-06-15,112.449997,113.309998,111.779999,112.930000,112.055664,99200
2021-06-16,112.629997,113.459999,112.000000,112.330002,111.460312,135300
2021-06-17,113.720001,114.110001,111.680000,112.980003,112.105278,222700
2021-06-18,109.949997,111.760002,109.220001,110.309998,109.455948,288200
2021-06-21,110.800003,112.709999,110.339996,111.959999,111.093170,210600
2021-06-22,112.779999,112.860001,110.220001,110.800003,109.942162,234200
2021-06-23,111.370003,111.610001,109.779999,110.029999,109.178116,186400
2021-06-24,110.709999,111.720001,110.110001,110.510002,109.654404,172300
2021-06-25,110.239998,110.349998,108.669998,109.330002,108.483536,174200
2021-06-28,106.919998,107.000000,105.000000,106.690002,105.863976,241300
2021-06-29,105.080002,107.370003,105.080002,107.260002,106.429565,233700
2021-06-30,107.459999,108.669998,106.370003,108.209999,107.372208,190900
2021-07-01,110.139999,111.150002,109.190002,109.610001,108.761368,165800
2021-07-02,110.180000,111.849998,109.510002,111.180000,110.319214,187400
2021-07-06,112.430000,112.879997,108.870003,109.620003,108.771294,281700
2021-07-07,109.059998,109.250000,106.239998,107.459999,106.628014,165900
2021-07-08,106.160004,107.370003,104.750000,106.010002,105.189240,188800
2021-07-09,107.400002,108.199997,107.349998,107.949997,107.114220,274600
2021-07-12,108.059998,108.059998,105.290001,107.120003,106.290649,278500
2021-07-13,106.290001,106.290001,104.290001,104.989998,104.177132,175500
2021-07-14,104.989998,106.169998,104.269997,104.489998,103.681007,431200
2021-07-15,104.489998,105.059998,102.820000,104.230003,103.423027,234000
2021-07-16,104.820000,104.820000,101.620003,101.839996,101.051521,220200
2021-07-19,98.910004,98.910004,96.449997,97.830002,97.072571,544300
2021-07-20,98.349998,100.430000,97.320000,100.099998,99.324997,410200
2021-07-21,101.150002,103.519997,101.150002,102.099998,101.309509,310300
2021-07-22,104.550003,106.389999,103.559998,104.160004,103.353569,274000
2021-07-23,104.129997,104.919998,103.639999,104.519997,103.710770,183600
2021-07-26,106.580002,107.470001,104.050003,107.239998,106.409714,364100
2021-07-27,109.389999,110.190002,107.300003,108.930000,108.086632,342600
2021-07-28,109.459999,111.900002,108.800003,110.959999,110.100914,330800
2021-07-29,111.290001,111.290001,108.790001,109.190002,108.344620,248900
2021-07-30,108.989998,110.400002,108.330002,109.040001,108.195786,306900
2021-08-02,109.879997,112.000000,109.000000,109.129997,108.285080,158500
2021-08-03,109.440002,110.239998,108.529999,109.300003,108.453773,113000
2021-08-04,108.739998,109.160004,107.779999,108.949997,108.106476,209000
2021-08-05,109.459999,111.879997,109.400002,110.550003,109.694092,181000
2021-08-06,110.730003,110.730003,108.830002,109.739998,108.890358,93600
2021-08-09,108.459999,108.459999,106.510002,107.839996,107.005066,79900
2021-08-10,108.000000,109.800003,107.010002,109.800003,108.949898,132200
2021-08-11,109.190002,111.580002,108.540001,111.559998,110.696266,228600
2021-08-12,110.360001,110.500000,108.500000,108.930000,108.086632,150900
2021-08-13,108.739998,109.339996,107.779999,108.000000,107.163834,85300
2021-08-16,107.290001,107.949997,106.150002,107.629997,106.796692,125000
2021-08-17,106.629997,107.250000,105.500000,106.790001,105.963203,307900
2021-08-18,106.000000,108.360001,105.540001,105.540001,104.722878,199100
2021-08-19,105.639999,105.639999,104.309998,105.199997,104.385506,236000
2021-08-20,105.050003,105.260002,104.180000,105.099998,104.286285,131900
2021-08-23,106.269997,108.099998,105.839996,107.919998,107.084450,201300
2021-08-24,108.860001,109.930000,108.279999,108.529999,107.689728,83900
2021-08-25,109.830002,109.830002,108.480003,109.430000,108.582764,193300
2021-08-26,107.760002,109.470001,107.430000,108.720001,107.878258,160900
2021-08-27,108.070000,108.900002,107.680000,108.360001,107.521049,242100
2021-08-30,108.470001,108.720001,107.400002,107.690002,106.856239,178800
2021-08-31,106.849998,108.550003,106.570000,107.699997,106.866150,479200
2021-09-01,108.379997,109.589996,107.680000,107.800003,106.965385,232500
2021-09-02,109.230003,109.230003,107.019997,107.110001,106.280724,198900
2021-09-03,107.290001,108.180000,106.769997,108.110001,107.272980,183200
2021-09-07,107.529999,108.760002,107.529999,108.139999,107.302750,465700
2021-09-08,108.419998,108.519997,106.290001,107.080002,106.250961,237600
2021-09-09,106.169998,108.000000,105.989998,107.459999,106.628014,277500
2021-09-10,106.360001,106.889999,105.320000,105.400002,104.583961,381000
2021-09-13,106.360001,107.370003,105.349998,105.849998,105.030479,499700
2021-09-14,105.570000,105.839996,103.919998,104.879997,104.067986,253900
2021-09-15,104.360001,106.089996,103.550003,106.000000,105.179321,273700
2021-09-16,111.139999,114.480003,110.160004,114.379997,113.494438,324200
2021-09-17,115.000000,116.000000,113.559998,115.370003,114.476776,259800
2021-09-20,115.250000,115.980003,112.669998,114.099998,113.216606,247100
2021-09-21,112.230003,113.750000,111.699997,112.010002,111.142792,185300
2021-09-22,112.739998,113.559998,110.760002,110.820000,109.961998,364300
2021-09-23,110.970001,113.720001,110.650002,113.110001,112.234268,178800
2021-09-24,112.870003,114.779999,112.680000,114.430000,113.544052,171800
2021-09-27,115.580002,116.959999,113.550003,113.610001,112.730400,245400
2021-09-28,112.930000,113.660004,110.879997,111.559998,110.696266,330200
2021-09-29,112.089996,113.989998,110.709999,113.379997,112.502174,264900
2021-09-30,111.589996,111.589996,109.559998,110.059998,109.207878,318700
2021-10-01,112.080002,117.690002,112.080002,117.529999,116.620049,258900
2021-10-04,117.860001,119.500000,115.839996,115.989998,115.091972,214800
2021-10-05,115.459999,115.910004,114.110001,114.860001,113.970718,161200
2021-10-06,112.320000,112.860001,108.889999,111.790001,110.924492,298400
2021-10-07,112.419998,115.330002,111.889999,115.059998,114.169167,361100
2021-10-08,113.309998,117.410004,112.910004,115.800003,114.903450,423400
2021-10-11,116.570000,116.720001,115.099998,115.370003,114.476776,175100
2021-10-12,113.559998,114.199997,113.010002,113.940002,113.057846,216800
2021-10-13,112.029999,113.190002,111.919998,112.879997,112.006050,238400
2021-10-14,114.519997,117.660004,114.519997,116.970001,116.064384,273800
2021-10-15,118.680000,120.260002,117.639999,117.739998,116.828423,266700
2021-10-18,115.029999,115.839996,113.809998,114.570000,113.682968,192000
2021-10-19,113.800003,113.800003,111.639999,111.820000,110.954254,243100
2021-10-20,109.639999,110.029999,108.199997,109.330002,108.483536,428200
2021-10-21,109.309998,109.940002,107.940002,108.400002,107.560738,165300
2021-10-22,108.010002,109.000000,108.010002,108.410004,107.570663,110300
2021-10-25,108.419998,109.980003,108.389999,109.860001,109.009430,244400
2021-10-26,110.459999,110.930000,108.400002,109.040001,108.195786,191000
2021-10-27,108.870003,109.410004,107.750000,108.610001,107.769112,151300
2021-10-28,110.290001,111.150002,109.540001,110.669998,109.813156,197900
2021-10-29,110.669998,113.680000,110.300003,113.510002,112.631172,284500
2021-11-01,113.510002,116.449997,112.139999,116.269997,115.369804,224900
2021-11-02,116.110001,118.800003,114.779999,118.330002,117.413857,439400
2021-11-03,119.610001,121.379997,118.709999,121.050003,120.112801,426400
2021-11-04,120.279999,120.699997,118.849998,120.250000,119.318993,270200
2021-11-05,122.650002,124.540001,122.230003,123.860001,122.901039,308800
2021-11-08,121.070000,127.250000,121.070000,126.120003,125.143547,758700
2021-11-09,123.360001,124.389999,120.680000,122.010002,121.065369,548600
2021-11-10,120.260002,123.180000,118.330002,120.959999,120.023491,331900
2021-11-11,119.339996,119.949997,117.070000,117.209999,116.302528,223000
2021-11-12,115.809998,115.900002,113.379997,114.120003,113.236450,221000
2021-11-15,113.820000,115.019997,113.430000,114.629997,113.742500,212100
2021-11-16,114.540001,115.669998,112.900002,114.660004,113.772270,415000
2021-11-17,113.050003,113.279999,111.349998,112.580002,111.708374,332100
2021-11-18,112.260002,112.260002,109.709999,110.860001,110.001694,433800
2021-11-19,108.279999,108.650002,105.660004,105.889999,105.070168,393000
2021-11-22,105.660004,105.669998,102.260002,102.750000,101.954483,331100
2021-11-23,104.500000,105.820000,103.160004,104.000000,103.194801,395000
2021-11-24,102.269997,104.099998,100.870003,103.800003,102.996353,379400
2021-11-26,97.500000,100.199997,96.750000,100.000000,99.225769,507700
2021-11-29,102.269997,102.440002,97.040001,98.120003,97.360329,383600
2021-11-30,97.699997,98.839996,95.059998,95.550003,94.810226,711800
2021-12-01,100.860001,101.070000,95.150002,95.379997,94.641541,779000
2021-12-02,99.120003,100.639999,97.430000,100.180000,99.404381,512100
2021-12-03,100.690002,101.529999,98.820000,100.580002,99.801285,341600
2021-12-06,102.489998,104.669998,100.910004,102.510002,101.716339,371600
2021-12-07,103.669998,104.510002,101.160004,101.309998,100.525627,321300
2021-12-08,100.959999,102.779999,100.269997,101.339996,100.555389,463800
2021-12-09,99.339996,101.629997,99.209999,100.900002,100.118805,409100
2021-12-10,100.760002,102.089996,100.129997,100.410004,99.632599,446200
2021-12-13,98.419998,98.419998,96.000000,97.169998,96.417679,371600
2021-12-14,97.169998,99.500000,96.059998,98.150002,97.390099,424100
2021-12-15,97.080002,99.400002,95.830002,99.169998,98.402199,460900
2021-12-16,98.849998,100.440002,98.669998,99.500000,98.729645,532600
2021-12-17,100.430000,102.360001,99.919998,100.690002,99.910431,628400
2021-12-20,98.199997,101.230003,97.360001,101.000000,100.218033,619400
2021-12-21,102.379997,107.639999,102.370003,104.989998,104.177132,482500
2021-12-22,106.599998,107.699997,103.589996,103.739998,102.936813,542200
2021-12-23,106.070000,106.839996,104.760002,104.839996,104.028297,279100
2021-12-27,104.669998,106.800003,103.900002,106.050003,105.228935,165900
2021-12-28,106.040001,106.570000,104.739998,104.959999,104.147369,157600
2021-12-29,104.300003,104.870003,102.589996,102.940002,102.143013,221500
2021-12-30,103.019997,104.279999,102.120003,102.120003,101.329361,330000
2021-12-31,102.129997,105.139999,101.669998,102.330002,101.537735,162000
2022-01-03,103.349998,107.769997,102.269997,106.440002,105.615913,211300
2022-01-04,110.800003,111.230003,108.000000,109.050003,108.205704,402600
2022-01-05,111.419998,111.849998,109.839996,110.250000,109.396416,398500
2022-01-06,110.070000,112.029999,109.739998,111.599998,110.735962,347900
2022-01-07,112.050003,116.589996,111.650002,115.989998,115.091972,496900
2022-01-10,116.089996,117.669998,113.720001,115.970001,115.072128,757400
2022-01-11,115.860001,118.570000,114.800003,118.089996,117.175713,406300
2022-01-12,116.389999,116.790001,114.489998,114.860001,113.970718,291500
2022-01-13,115.150002,118.889999,115.050003,116.910004,116.004852,187900
2022-01-14,116.410004,117.930000,115.370003,117.860001,116.947495,161700
2022-01-18,113.610001,114.480003,111.800003,113.110001,112.234268,314600
2022-01-19,112.300003,115.470001,111.540001,114.000000,113.117378,391900
2022-01-20,117.570000,117.570000,114.500000,115.099998,114.208862,313700
2022-01-21,114.080002,115.080002,112.150002,113.440002,112.561714,218200
2022-01-24,108.750000,112.129997,108.379997,111.930000,111.063408,430900
2022-01-25,109.690002,110.910004,106.029999,106.349998,105.526604,1109000
2022-01-26,113.800003,113.820000,106.540001,107.470001,106.637939,476800
2022-01-27,108.550003,112.010002,108.550003,110.949997,110.090988,608400
2022-01-28,111.529999,112.139999,109.019997,110.949997,110.090988,463500
2022-01-31,108.389999,111.750000,104.300003,111.620003,110.755806,421800
2022-02-01,112.160004,116.279999,110.400002,116.000000,115.101898,369300
2022-02-02,116.809998,118.800003,116.250000,118.029999,117.116180,483900
2022-02-03,114.980003,117.769997,114.190002,117.070000,116.163612,412300
2022-02-04,116.480003,119.599998,115.440002,119.250000,118.326729,595600
2022-02-07,119.510002,120.099998,117.250000,118.650002,117.731377,380300
2022-02-08,118.720001,120.779999,118.639999,120.699997,119.765503,864800
2022-02-09,124.500000,124.750000,121.010002,122.000000,121.055443,585300
2022-02-10,121.860001,125.010002,121.580002,124.129997,123.168945,785900
2022-02-11,124.440002,125.150002,119.620003,121.480003,120.539467,1027400
2022-02-14,120.820000,123.160004,120.360001,122.860001,121.908783,1066200
2022-02-15,123.349998,125.750000,120.919998,121.010002,120.073105,524800
2022-02-16,120.750000,120.750000,115.290001,115.750000,114.853828,802300
2022-02-17,114.800003,114.820000,108.209999,108.489998,107.650040,587700
2022-02-18,110.279999,110.970001,107.180000,107.900002,107.064606,347400
2022-02-22,107.750000,109.550003,105.910004,106.510002,105.685371,320500
2022-02-23,107.730003,108.139999,103.790001,103.980003,103.174957,274500
2022-02-24,100.639999,101.809998,99.370003,101.620003,100.833229,702500
2022-02-25,103.360001,105.099998,101.800003,102.430000,101.636955,703800
2022-02-28,99.300003,100.930000,96.989998,99.709999,98.938019,716000
2022-03-01,95.739998,97.410004,88.760002,88.989998,88.301010,775800
2022-03-02,92.230003,94.180000,91.129997,93.080002,92.359352,811300
2022-03-03,93.389999,94.139999,88.820000,90.510002,89.809250,799300
2022-03-04,87.809998,88.000000,83.000000,83.629997,82.982513,861400
2022-03-07,83.000000,83.629997,74.120003,74.120003,73.546143,1114200
2022-03-08,78.629997,79.959999,75.400002,77.550003,76.949585,1635600
2022-03-09,84.980003,85.230003,81.290001,81.559998,80.928535,1189900
2022-03-10,80.980003,82.089996,79.769997,80.290001,79.668373,707800
2022-03-11,84.330002,84.330002,79.519997,80.000000,79.380615,1402100
2022-03-14,81.449997,85.870003,80.730003,83.339996,82.694756,978600
2022-03-15,88.599998,89.559998,84.699997,85.680000,85.016640,848800
2022-03-16,87.169998,90.680000,87.169998,90.449997,89.749710,458500
2022-03-17,86.559998,89.080002,86.559998,88.980003,88.291092,678700
2022-03-18,85.940002,87.510002,85.410004,86.720001,86.048592,676900
2022-03-21,83.519997,87.070000,82.940002,86.050003,85.383781,698200
2022-03-22,86.949997,87.669998,85.599998,86.860001,86.187508,598900
2022-03-23,85.419998,85.949997,83.949997,84.320000,83.667168,513600
2022-03-24,82.800003,84.339996,81.349998,84.269997,83.617554,928900
2022-03-25,84.209999,85.820000,83.120003,83.279999,82.635223,531200
2022-03-28,86.000000,86.209999,83.739998,84.809998,84.153374,777000
2022-03-29,90.320000,91.320000,86.779999,87.769997,87.090454,956500
2022-03-30,86.300003,86.300003,83.699997,84.110001,83.458794,1106700
2022-03-31,84.529999,87.300003,83.790001,87.120003,86.445496,1356800
2022-04-01,85.589996,88.769997,85.589996,88.599998,87.914032,809100
2022-04-04,87.099998,90.760002,86.680000,89.160004,88.469704,721500
2022-04-05,87.410004,88.400002,85.900002,86.889999,86.217270,702800
2022-04-06,83.470001,84.959999,81.949997,84.610001,83.954926,888300
2022-04-07,87.269997,88.129997,85.180000,87.809998,87.130150,418400
2022-04-08,87.050003,88.570000,86.529999,87.610001,86.931702,415400
2022-04-11,88.559998,92.000000,87.820000,90.889999,90.186302,682200
2022-04-12,91.680000,92.540001,90.790001,91.489998,90.781654,461600
2022-04-13,90.620003,95.370003,90.309998,94.610001,93.877502,886500
2022-04-14,94.629997,96.620003,94.139999,95.879997,95.137665,519100
2022-04-18,95.019997,95.500000,93.250000,94.360001,93.629440,403200
2022-04-19,93.860001,94.949997,92.809998,94.709999,93.976730,481700
2022-04-20,95.089996,95.879997,92.739998,93.349998,92.627258,405600
2022-04-21,98.029999,98.419998,93.779999,94.279999,93.550056,406600
2022-04-22,93.839996,94.610001,90.199997,91.110001,90.404602,288800
2022-04-25,90.519997,92.000000,89.419998,91.379997,90.672508,483800
2022-04-26,90.779999,91.160004,87.190002,87.379997,86.703476,309200
2022-04-27,88.160004,89.870003,87.639999,89.169998,88.479622,306700
2022-04-28,91.269997,91.620003,88.470001,90.489998,89.789398,249300
2022-04-29,89.040001,90.379997,87.169998,87.320000,86.643944,312800
2022-05-02,86.620003,87.760002,85.500000,87.529999,86.852318,218100
2022-05-03,88.919998,89.760002,87.690002,88.629997,87.943802,188700
2022-05-04,87.000000,89.050003,86.230003,88.650002,87.963646,148300
2022-05-05,86.919998,87.139999,85.510002,86.000000,85.334160,443300
2022-05-06,85.540001,86.809998,83.959999,85.459999,84.798340,782600
2022-05-09,85.459999,85.800003,82.760002,83.250000,82.605453,621400
2022-05-10,84.809998,84.820000,82.260002,82.910004,82.268089,579900
2022-05-11,84.620003,85.019997,81.790001,81.940002,81.305603,327900
2022-05-12,79.669998,81.760002,79.110001,80.250000,79.628685,381800
2022-05-13,81.440002,83.610001,81.339996,83.000000,82.357391,1116100
2022-05-16,82.000000,82.080002,79.330002,81.019997,80.392715,596300
2022-05-17,83.580002,85.699997,83.580002,84.620003,83.964851,1261100
2022-05-18,84.129997,85.309998,82.580002,82.980003,82.337547,420000
2022-05-19,83.839996,85.720001,83.690002,84.739998,84.083916,606900
2022-05-20,86.080002,86.470001,84.900002,85.870003,85.205170,860900
